: nouns - Singular,Plural
Abbildung,Abbildungen
Absatz,Absätze
Anfang,Anfänge
Angst,Ängste
Arbeit,Arbeiten
Art,Arten
Aufgabe,Aufgaben
Auge,Augen
Auto,Autos
Bedeutung,Bedeutungen
Begriff,Begriffe
Beispiel,Beispiele
Bereich,Bereiche
Beruf,Berufe
Beziehung,Beziehungen
Bild,Bilder
Blick,Blicke
Boden,Böden
Ende,Enden
Entwicklung,Entwicklungen
Erfahrung,Erfahrungen
Ergebnis,Ergebnisse
Familie,Familien
Folge,Folgen
Form,Formen
Frage,Fragen
Frau,Frauen
Freund,Freunde
Funktion,Funktionen
Geld,Gelder
Geschichte,Geschichten
Gesicht,Gesichter
Gespräch,Gespräche
Gott,Götter
Grund,Gründe
Gruppe,Gruppen
Haus,Häuser
Herr,Herren
Information,Informationen
Jahr,Jahre
Kind,Kinder
Krieg,Kriege
Land,Länder
Leben,Leben
Mann,Männer
Mensch,Menschen
Milliarde,Milliarden
Million,Millionen
Minute,Minuten
Moment,Momente
Monat,Monate
Möglichkeit,Möglichkeiten
Nacht,Nächte
Name,Namen
Ort,Orte
Paar,Paare
Person,Personen
Platz,Plätze
Preis,Preise
Problem,Probleme
Programm,Programme
Punkt,Punkte
Rahmen,Rahmen
Regel,Regeln
Regierung,Regierungen
Richtung,Richtungen
Rolle,Rollen
Sache,Sachen
Schritt,Schritte
Schule,Schulen
Situation,Situationen
Sohn,Söhne
Spiel,Spiele
Sprache,Sprachen
Stadt,Städte
Stelle,Stellen
Stimme,Stimmen
Straße,Straßen
Stunde,Stunden
Stück,Stücke
System,Systeme
Tag,Tage
Teil,Teile
Text,Texte
Thema,Themen
Tisch,Tische
Tochter,Töchter
Tür,Türen
Uhr,Uhren
Universität,Universitäten
Weg,Wege
Welt,Welten
Werk,Werke
Wert,Werte
Woche,Wochen
Wohnung,Wohnungen
Zahl,Zahlen
Zeit,Zeiten
Ziel,Ziele
: nouns - Nominativ,Genitiv
Buch,Buches
Mensch,Menschen
Auto,Autos
Kommentar,Kommentars
Opfer,Opfers
Bruder,Bruders
Titel,Titels
Mord,Mordes
Fehler,Fehlers
Sieg,Sieges
Tourist,Tourists
Morgen,Morgens
Ende,Endes
Frühling,Frühlings
Minister,Ministers
Regen,Regens
Weg,Weges
Erachten,Erachtens
Platz,Platzes
Ergebnis,Ergebnisses
Junge,Jungen
Mädchen,Mädchens
Absolvent,Absolventen
Goethe,Goethes
Jahr,Jahres
Russe,Russen
Deutscher,Deutschen
Engländer,Engländers
Computer,Computers
Laptop,Laptops
Licht,Lichtes
Gras,Grases
Raum,Raumes
Geld,Geldes
Vater,Vaters
Mann,Mannes
Kind,Kindes
Paar,Paares
Merkel,Merkels
Baum,Baumes
Geschenk,Geschenks
Einfluss,Einflusses
Assistent,Assistenten
Haus,Hauses
Dienst,Dienstes
Gedicht,Gedichtes
Programm,Programmes
Code,Codes
Land,Landes
Bundesland,Bundeslandes
Opa,Opas
Hund,Hundes
Kanzler,Kanzlers
Laster,Lasters
