: adjectives-Positiv,Komparativ,Superlativ
ähnlich,ähnlicher,ähnlichsten
alt,älter,ältesten
arm,ärmer,ärmsten
bekannt,bekannter,bekanntesten
bestimmt,bestimmter,bestimmtesten
billig,billiger,billigsten
deutlich,deutlicher,deutlichsten
dick,dicker,dicksten
dreckig,dreckiger,dreckigsten
dumm,dümmer,dümmsten
dunkel,dunkler,dunkelsten
dünn,dünner,dünnsten
eckig,eckiger,eckigsten
einfach,einfacher,einfachsten
einsam,einsamer,einsamsten
elegant,eleganter,elegantesten
eng,enger,engsten
faul,fauler,faulsten
fleißig,fleißiger,fleißigsten
freundlich,freundlicher,freundlichsten
frisch,frischer,frischsten
fröhlich,fröhlicher,fröhlichsten
früh,früher,frühsten
gefährlich,gefährlicher,gefährlichsten
genau,genauer,genausten
gerade,gerader,geradesten
gering,geringer,geringsten
gesund,gesünder,gesündesten
giftig,giftiger,giftigsten
glatt,glätter,glättesten
glücklich,glücklicher,glücklichsten
groß,größer,größten
gut,besser,besten
hart,härter,härtesten
hoch,höher,höchsten
häufig,häufiger,häufigsten
jung,jünger,jüngsten
kalt,kälter,kältesten
klar,klarer,klarsten
klein,kleiner,kleinsten
krumm,krümmer,krümmsten
kurz,kürzer,kürzesten
lang,länger,längsten
langsam,langsamer,langsamsten
laut,lauter,lautesten
lecker,leckerer,leckersten
leicht,leichter,leichtesten
leise,leiser,leisesten
lieb,lieber,liebsten
lustig,lustiger,lustigsten
mutig,mutiger,mutigsten
müde,müder,müdesten
nahe,näher,nächsten
natürlich,natürlicher,natürlichsten
nett,netter,nettesten
neu,neuer,neusten
offen,offener,offensten
oft,öfter,öftesten
persönlich,persönlicher,persönlichsten
praktisch,praktischer,praktischsten
richtig,richtiger,richtigsten
riesig,riesiger,riesigsten
ruhig,ruhiger,ruhigsten
rund,runder,rundesten
sauber,sauberer,saubersten
scharf,schärfer,schärfsten
schlank,schlanker,schlankesten
schlecht,schlechter,schlechtesten
schmal,schmaler,schmalsten
schmutzig,schmutziger,schmutzigsten
schnell,schneller,schnellsten
schrecklich,schrecklicher,schrecklichsten
schwach,schwächer,schwächsten
schwer,schwerer,schwersten
schwierig,schwieriger,schwierigsten
schädlich,schädlicher,schädlichsten
schön,schöner,schönsten
sicher,sicherer,sichersten
sonnig,sonniger,sonnigsten
spannend,spannender,spannendsten
spitz,spitzer,spitzesten
spät,später,spätesten
stark,stärker,stärksten
steil,steiler,steilsten
still,stiller,stillsten
tief,tiefer,tiefsten
traurig,trauriger,traurigsten
trocken,trockener,trockensten
unterschiedlich,unterschiedlicher,unterschiedlichsten
verschieden,verschiedener,verschiedensten
voll,voller,vollsten
wahrscheinlich,wahrscheinlicher,wahrscheinlichsten
warm,wärmer,wärmsten
weich,weicher,weichsten
weit,weiter,weitesten
wenig,weniger,wenigsten
wertvoll,wertvoller,wertvollsten
wichtig,wichtiger,wichtigsten
wild,wilder,wildesten
