: Geschlecht
Bruder,Schwester
Bräutigam,Braut
Ehemann,Ehefrau
Enkel,Enkelin
er,sie
Großvater,Großmutter
Junge,Mädchen
König,Königin
Kaiser,Kaiserin
Kanzler,Kanzlerin
Präsident,Präsidentin
Diktator,Diktatorin
Ministerpräsident,Ministerpräsidentin
Baron,Baronin
Mann,Frau
männlich,weiblich
Neffe,Nichte
Onkel,Tante
Papa,Mama
Partner,Partnerin
Prinz,Prinzessin
Vater,Mutter
Lehrer,Lehrerin
Student,Studentin
Sohn,Tochter
Opa,Oma
Stier,Kuh
Hahn,Henne
Schüler,Schülerin
Arzt,Ärztin
Krankenpfleger,Krankenschwester
Patient,Patientin
Schwiegervater,Schwiegermutter
Schwiegersohn,Schwiegertochter
Schwager,Schwägerin
Cousin,Cousine
Nachbar,Nachbarin
Verlobter,Verlobte
Freund,Freundinn
Redner,Rednerin
Kater,Katze
Künstler,Künstlerin
Bauer,Bäuerin
Geliebter,Geliebte
Student,Studentin
