rel,e1,e2
"Cause-Effect(e1,e2)",Immigrants,population
"Cause-Effect(e1,e2)",success,celebration
"Cause-Effect(e1,e2)",hinge,crack
"Cause-Effect(e1,e2)",Properties,amphibolites
"Cause-Effect(e1,e2)",cigarettes,nausea
"Cause-Effect(e1,e2)",faults,cancellations
"Cause-Effect(e1,e2)",Trauma,nosebleeds
"Cause-Effect(e1,e2)",clock,melody
"Cause-Effect(e1,e2)",elimination,riot
"Cause-Effect(e1,e2)",debris,crash
"Cause-Effect(e1,e2)",inequality,riots
"Cause-Effect(e1,e2)",lamp,light
"Cause-Effect(e1,e2)",crowd,harassment
"Cause-Effect(e1,e2)",protozoa,poisoning
"Cause-Effect(e1,e2)",Electrolysis,reduction
"Cause-Effect(e1,e2)",producer,energy
"Cause-Effect(e1,e2)",drugs,unconsciousness
"Cause-Effect(e1,e2)",wind,corkscrew
"Cause-Effect(e1,e2)",pressures,stress
"Cause-Effect(e1,e2)",exhibition,revolution
"Cause-Effect(e1,e2)",belief,experience
"Cause-Effect(e1,e2)",movie,impression
"Cause-Effect(e1,e2)",wind,delays
"Cause-Effect(e1,e2)",debris,pustules
"Cause-Effect(e1,e2)",Lesions,hemiplegia
"Cause-Effect(e1,e2)",Water,erosion
"Cause-Effect(e1,e2)",drugs,disease
"Cause-Effect(e1,e2)",acid,adhesion
"Cause-Effect(e1,e2)",Overpopulation,tension
"Cause-Effect(e1,e2)",poisoning,abdominal pain
"Cause-Effect(e1,e2)",tsunami,havoc
"Cause-Effect(e1,e2)",preparations,increase
"Cause-Effect(e1,e2)",waterjet,gouge
"Cause-Effect(e1,e2)",threats,stress
"Cause-Effect(e1,e2)",diverticulitis,pain
"Cause-Effect(e1,e2)",machine,sounds
"Cause-Effect(e1,e2)",calm,ceasefire
"Cause-Effect(e1,e2)",disorder,loss
"Cause-Effect(e1,e2)",Autonomic imbalance,hypertension
"Cause-Effect(e1,e2)",steam,backpressure
"Cause-Effect(e1,e2)",death,abandonment
"Cause-Effect(e1,e2)",Viruses,illness
"Cause-Effect(e1,e2)",motor,sound
"Cause-Effect(e1,e2)",impulses,heartbeat
"Cause-Effect(e1,e2)",lorry,delays
"Cause-Effect(e1,e2)",viruses,illness
"Cause-Effect(e1,e2)",Exposure,watering
"Cause-Effect(e1,e2)",Diabetes mellitus,blindness
"Cause-Effect(e1,e2)",bending,fracture
"Cause-Effect(e1,e2)",rains,overflow
"Cause-Effect(e1,e2)",flea,infestation
"Cause-Effect(e1,e2)",criminals,fire
"Cause-Effect(e1,e2)",riot,deaths
"Cause-Effect(e1,e2)",Sun,evaporation
"Cause-Effect(e1,e2)",struggle,drowning
"Cause-Effect(e1,e2)",Fatigue,corrosion
"Cause-Effect(e1,e2)",influx,drain
"Cause-Effect(e1,e2)",debt,stress
"Cause-Effect(e1,e2)",experiment,state
"Cause-Effect(e1,e2)",man,jolliness
"Cause-Effect(e1,e2)",castle,light
"Cause-Effect(e1,e2)",weather,accidents
"Cause-Effect(e1,e2)",earthquake,marsh
"Cause-Effect(e1,e2)",movement,rediscovery
"Cause-Effect(e1,e2)",development,clearance
"Cause-Effect(e1,e2)",disorder,memory loss
"Cause-Effect(e1,e2)",Asthma,swelling
"Cause-Effect(e1,e2)",earthquake,blackout
"Cause-Effect(e1,e2)",snowstorm,delays
"Cause-Effect(e1,e2)",person,alibi
"Cause-Effect(e1,e2)",reboot,message
"Cause-Effect(e1,e2)",smile,hope
"Cause-Effect(e1,e2)",extraction,extinction
"Cause-Effect(e1,e2)",asteroid,extinction
"Cause-Effect(e1,e2)",reaction,affect
"Cause-Effect(e1,e2)",snowstorm,catastrophe
"Cause-Effect(e1,e2)",accident,delays
"Cause-Effect(e1,e2)",helicobacter,ulcer
"Cause-Effect(e1,e2)",rock,accident
"Cause-Effect(e1,e2)",man,kidnapping
"Cause-Effect(e1,e2)",explosion,gas leak
"Cause-Effect(e1,e2)",pie,poisoning
"Cause-Effect(e1,e2)",car,sound
"Cause-Effect(e1,e2)",Soya farming,deforestation
"Cause-Effect(e1,e2)",floodlights,power outage
"Cause-Effect(e1,e2)",injury,operations
"Cause-Effect(e1,e2)",Cardiovascular disease,morbidity
"Cause-Effect(e1,e2)",molt,feathers
"Cause-Effect(e1,e2)",man,thump
"Cause-Effect(e1,e2)",Vulvodynia,vulval pain
"Cause-Effect(e1,e2)",confrontation,commotion
"Cause-Effect(e1,e2)",fear,heart attack
"Cause-Effect(e1,e2)",medication,tingling
"Cause-Effect(e1,e2)",gases,evaporation
"Cause-Effect(e1,e2)",bills,bankruptcies
"Cause-Effect(e1,e2)",disease,hardening
"Cause-Effect(e1,e2)",sidewalk,heat
"Cause-Effect(e1,e2)",killings,firing
"Cause-Effect(e1,e2)",Menopause,anxiety
"Cause-Effect(e1,e2)",addition,reaction
"Cause-Effect(e1,e2)",loop,light
"Cause-Effect(e1,e2)",tsunami,damage
"Cause-Effect(e1,e2)",caller,mistake
"Cause-Effect(e1,e2)",exposure,convulsions
"Cause-Effect(e1,e2)",people,destruction
"Cause-Effect(e1,e2)",duo,stir
"Cause-Effect(e1,e2)",transmitter,signal
"Cause-Effect(e1,e2)",fume,sensitization
"Cause-Effect(e1,e2)",decrease,strategies
"Cause-Effect(e1,e2)",meeting,laws
"Cause-Effect(e1,e2)",fog,cancellation
"Cause-Effect(e1,e2)",slugs,damage
"Cause-Effect(e1,e2)",conflict,destruction
"Cause-Effect(e1,e2)",impact,torsion
"Cause-Effect(e1,e2)",fume,nausea
"Cause-Effect(e1,e2)",studies,proof
"Cause-Effect(e1,e2)",accident,injury
"Cause-Effect(e1,e2)",suffocation,shock
"Cause-Effect(e1,e2)",guy,fight
"Cause-Effect(e1,e2)",violence,death
"Cause-Effect(e1,e2)",tsunami,disaster
"Cause-Effect(e1,e2)",Constipation,abdominal pain
"Cause-Effect(e1,e2)",overproduction,growth
"Cause-Effect(e1,e2)",accident,death
"Cause-Effect(e1,e2)",colds,inflammation
"Cause-Effect(e1,e2)",massacre,onslaught
"Cause-Effect(e1,e2)",hull,scratch
"Cause-Effect(e1,e2)",murders,execution
"Cause-Effect(e1,e2)",bacteria,mortality
"Cause-Effect(e1,e2)",policies,disaster
"Cause-Effect(e1,e2)",battle,panic
"Cause-Effect(e1,e2)",storm,damage
"Cause-Effect(e1,e2)",anesthetics,depression
"Cause-Effect(e1,e2)",assassination,arrests
"Cause-Effect(e1,e2)",virus,disease
"Cause-Effect(e1,e2)",tension,headaches
"Cause-Effect(e1,e2)",virus,tonsillitis
"Cause-Effect(e1,e2)",law,redistribution
"Cause-Effect(e1,e2)",thunderstorms,cancellation
"Cause-Effect(e1,e2)",snowstorm,losses
"Cause-Effect(e1,e2)",incubation,reduction
"Cause-Effect(e1,e2)",Addiction,neglect
